,pet_id,primary_breed,mixed_breed,age,gender,shelter_name,num_photos,pet_location,adoption_fee
3946,73715224,Pit Bull Terrier,True,Adult,Male,Fulton County Animal Services,1,"Atlanta, GA",
3947,73715231,Mixed Breed,True,Young,Female,LifeLine Animal Project,1,"Atlanta, GA",
3948,73715232,Labrador Retriever,True,Adult,Male,LifeLine Animal Project,3,"Atlanta, GA",
3949,73715261,Chihuahua,False,Adult,Male,Fayette Humane Society,3,"Fayetteville, GA",
3950,73715262,Chihuahua,False,Adult,Female,Fayette Humane Society,3,"Fayetteville, GA",
3951,73715392,Mixed Breed,True,Baby,Female,Dekalb County Animal Services,1,"Chamblee, GA",
3952,73715393,Mixed Breed,True,Baby,Male,Dekalb County Animal Services,1,"Chamblee, GA",
3953,73715394,Mixed Breed,True,Baby,Male,Dekalb County Animal Services,2,"Chamblee, GA",
3954,73715395,Mixed Breed,True,Adult,Female,Dekalb County Animal Services,1,"Chamblee, GA",
3955,73715397,Mixed Breed,True,Baby,Male,Dekalb County Animal Services,1,"Chamblee, GA",
3956,73715398,Mixed Breed,True,Adult,Female,Dekalb County Animal Services,1,"Chamblee, GA",
3957,73715399,Mixed Breed,True,Young,Male,Dekalb County Animal Services,1,"Chamblee, GA",
3958,73715400,Mixed Breed,True,Adult,Male,Dekalb County Animal Services,1,"Chamblee, GA",
3959,73715401,Mixed Breed,True,Baby,Male,Dekalb County Animal Services,1,"Chamblee, GA",
3960,73715404,Pit Bull Terrier,True,Young,Male,Dekalb County Animal Services,1,"Chamblee, GA",
3961,73715406,Mixed Breed,True,Adult,Male,Dekalb County Animal Services,1,"Chamblee, GA",
3962,73715408,Mixed Breed,True,Adult,Male,Dekalb County Animal Services,1,"Chamblee, GA",
3963,73716409,Siberian Husky,True,Young,Male,"BullyWag, Inc.",0,"Palmetto, GA",
3964,73716410,Labrador Retriever,True,Young,Female,"BullyWag, Inc.",0,"Palmetto, GA",
3965,73716411,Black and Tan Coonhound,True,Senior,Female,"BullyWag, Inc.",0,"Palmetto, GA",
3966,73716412,Labrador Retriever,True,Adult,Female,"BullyWag, Inc.",0,"Palmetto, GA",
