,pet_id,primary_breed,mixed_breed,age,gender,size,shelter_name,shelter_id,zip_code,num_photos,pet_location,health,adoption_fee,adoption_fee2
76,72678948,Chihuahua,True,Baby,Male,Medium,Faithful Hearts Animal Shelter Inc.,GA216,31023,2,"Eastman, GA",Spayed / neutered.,,
77,72189215,Husky,False,Adult,Female,Medium,Faithful Hearts Animal Shelter Inc.,GA216,31023,3,"Eastman, GA",Spayed / neutered.,,
78,72189214,Jack Russell Terrier,True,Young,Male,Medium,Faithful Hearts Animal Shelter Inc.,GA216,31023,3,"Eastman, GA",Spayed / neutered.,,
79,71262049,Labrador Retriever,True,Baby,Male,Medium,Faithful Hearts Animal Shelter Inc.,GA216,31023,3,"Eastman, GA","Vaccinations up to date, spayed / neutered.",,
80,70789208,American Bulldog,False,Adult,Female,Large,Island Breeze Dog Rescue,GA1038,31044,2,"Jeffersonville, GA","Vaccinations up to date, spayed / neutered.",150,150.0
81,69627920,Pit Bull Terrier,False,Adult,Female,Large,Island Breeze Dog Rescue,GA1038,31044,1,"Jeffersonville, GA","Vaccinations up to date, spayed / neutered.",150,150.0
82,69618164,Mixed Breed,True,Adult,Male,Medium,Island Breeze Dog Rescue,GA1038,31044,4,"Jeffersonville, GA","Vaccinations up to date, spayed / neutered.",200,200.0
83,73700316,Corgi,True,Young,Male,Small,Paws in Middle Georgia Animal Rescue,GA1028,31093,3,"WARNER ROBINS, GA","Vaccinations up to date, spayed / neutered.",,
84,73526806,Yorkshire Terrier,True,Senior,Male,Small,Paws in Middle Georgia Animal Rescue,GA1028,31093,6,"WARNER ROBINS, GA","Vaccinations up to date, spayed / neutered, special needs. Hiccup is a tripod.",250,250.0
85,73106669,Great Pyrenees,True,Adult,Male,Large,Paws in Middle Georgia Animal Rescue,GA1028,31093,6,"WARNER ROBINS, GA","Vaccinations up to date, spayed / neutered.",250,250.0
