,pet_id,primary_breed,secondary_breed,mixed_breed,age,gender,size,primary_colour,secondary_colour,coat_length,shelter_name,shelter_id,zip_code,num_photos,children,cats,other_dogs,fee_waived,pet_location,characteristics,house_trained,health,adoption_fee,clean_pet_names
0,72096072,Boxer,American Bulldog,True,Senior,Male,Medium,Brindle,None,Short,Freedom Bridge Animal Rescue,GA988,30303,5,Unknown,False,False,False,"Atlanta , GA","Friendly, Affectionate, Smart, Athletic, Food Motivated, Dog Reactive When On Leash",Yes,"Vaccinations up to date, spayed / neutered.",,Jackson
1,73681457,Chiweenie,Mixed Breed,True,Baby,Female,Small,Unknown,None,Unknown,Carolina German Shepherd Rescue,SC425,30303,6,True,True,True,False,"Atlanta , GA",N/A,N/A,Vaccinations up to date.,450,Candy
2,73681390,Great Pyrenees,None,True,Baby,Female,Large,Unknown,None,Unknown,Carolina German Shepherd Rescue,SC425,30303,6,True,True,True,False,"Atlanta , GA",N/A,N/A,Vaccinations up to date.,500,Marshmallow
3,73491201,Labrador Retriever,Mixed Breed,True,Baby,Male,Large,Unknown,None,Unknown,Carolina German Shepherd Rescue,SC425,30303,6,True,Unknown,True,False,"Atlanta , GA",N/A,Yes,Vaccinations up to date.,450,Bowie
4,70952437,Italian Greyhound,American Bulldog,True,Adult,Male,Medium,Unknown,None,Unknown,Italian Greyhound Place,NY977,30312,4,Unknown,True,False,False,"Atlanta, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered.",,Ezra
5,73327856,Great Dane,Black Labrador Retriever,True,Young,Female,Extra Large,Black,None,Short,"Team Rocky Enterprises, Inc.",TX2678,30301,4,True,False,True,False,"Atlanta, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered.",600,Athena
6,73327823,Great Dane,Doberman Pinscher,True,Adult,Male,Extra Large,Brown / Chocolate,None,Short,"Team Rocky Enterprises, Inc.",TX2678,30301,3,True,Unknown,True,False,"Atlanta, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered.",600,Sven
7,72600711,Great Dane,None,False,Adult,Male,Extra Large,Merle (Blue),None,Short,"Team Rocky Enterprises, Inc.",TX2678,30301,6,False,False,True,False,"Atlanta, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered.",250,Storm
8,72455199,Black Labrador Retriever,Great Dane,True,Adult,Male,Large,Black,None,Short,Rescue Angels of GA,GA194,30314,3,True,Unknown,True,False,"Atlanta, GA","Affectionate, Athletic, Curious, Friendly, Funny, Gentle, Loyal, Playful, Smart, Loves",Yes,"Vaccinations up to date, spayed / neutered.",300,Dio
9,59347792,Plott Hound,None,True,Adult,Male,Medium,Brindle,None,Short,Rescue Angels of GA,GA194,30314,6,True,Unknown,True,False,"Atlanta, GA","Friendly, Affectionate, Loyal, Playful, Smart, Curious, Athletic, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered.",200,Freddy
10,73671020,Mixed Breed,None,False,Young,Male,Large,White / Cream,Golden,Short,Waiting Under the Willow Foundation / WUWF Rescue,TX2467,30315,5,Unknown,False,False,False,"Atlanta, GA","Friendly, Affectionate, Playful, Smart, Brave, Independent, Funny, Athletic, Loves kisses, Sweet, Loving, People Pleaser",Yes,"Vaccinations up to date, spayed / neutered.",250,Boulder
11,73664127,Mixed Breed,None,True,Young,Male,Medium,Golden,White / Cream,Medium,Waiting Under the Willow Foundation / WUWF Rescue,TX2467,30315,5,True,True,True,False,"Atlanta, GA","Affectionate, Loves, Playful, Curious, Loyal, Gentle, Sweet, Energetic, Car Rider, Smart",Yes,Vaccinations up to date.,325,Runni
