pet_id,pet_name,primary_breed,secondary_breed,mixed_breed,age,gender,size,primary_colour,secondary_colour,coat_length,shelter_name,shelter_id,zip_code,num_photos,children,cats,other_dogs,other_animals,fee_waived,pet_location,characteristics,house_trained,health
50515849,Fiji,Boxer,American Staffordshire Terrier,True,Young,Female,Medium,Bicolor,,Short,Peach County Animal Rescue,GA918,31057,6,True,False,True,,False,"Marshallville, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered."
50464736,Diesel,American Staffordshire Terrier,,False,Adult,Male,Medium,Yellow / Tan / Blond / Fawn,,Short,Peach County Animal Rescue,GA918,31057,6,False,False,True,,False,"Marshallville, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered."
73756347,Mort,Chiweenie,,False,Baby,Male,Small,"Tricolor (Brown, Black, & White)",,Short,Atlanta Canine Adoption Project,GA244,31064,1,True,True,True,,False,"Monticello, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered."
73314674,Ghost,Shepherd,Husky,True,Young,Male,Large,White / Cream,,Medium,Atlanta Canine Adoption Project,GA244,31064,2,,,,,False,"Monticello, GA",N/A,N/A,N/A
71467443,Fancy,Chihuahua,Greyhound,True,Adult,Female,Small,White / Cream,,Short,Atlanta Canine Adoption Project,GA244,31064,6,True,,True,,False,"Monticello, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered."
71262904,Goldie ,Shih Tzu,,False,Senior,Female,Small,White / Cream,,Short,Atlanta Canine Adoption Project,GA244,31064,5,True,,True,,False,"Monticello, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered."
71262886,Princess ,Shih Tzu,,False,Senior,Female,Small,White / Cream,,Short,Atlanta Canine Adoption Project,GA244,31064,5,True,,True,,False,"Monticello, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered."
70886420,Raggedy Ann,Aussiedoodle,,False,Adult,Female,Large,Black,,Short,Atlanta Canine Adoption Project,GA244,31064,1,True,True,True,,False,"Monticello, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered."
70886153,Raggedy Andy,Aussiedoodle,,False,Adult,Male,Large,Black,White / Cream,Short,Atlanta Canine Adoption Project,GA244,31064,1,True,True,True,,False,"Monticello, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered."
65523986,Tribble,Shepherd,,False,Young,Male,Large,White / Cream,,Short,Atlanta Canine Adoption Project,GA244,31064,6,True,,True,,False,"Monticello, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered, special needs."
59954760,Gizmo,Wirehaired Terrier,,False,Adult,Male,Small,White / Cream,,Medium,Atlanta Canine Adoption Project,GA244,31064,3,True,True,True,,False,"Monticello, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered."
55464973,Mo,Terrier,,False,Adult,Male,Small,Apricot / Beige,,Medium,Atlanta Canine Adoption Project,GA244,31064,2,False,,True,,False,"Monticello, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered."
53136174,Simone,Poodle,,False,Adult,Female,Small,White / Cream,,Curly,Atlanta Canine Adoption Project,GA244,31064,6,True,,False,,False,"Monticello, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered."
48709233,Stella,Terrier,,True,Adult,Female,Medium,White / Cream,Gray / Blue / Silver,Wire,Atlanta Canine Adoption Project,GA244,31064,6,True,False,True,,False,"Monticello, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered."
48688040,Rosie,Terrier,,True,Adult,Female,Medium,Black,Brown / Chocolate,Wire,Atlanta Canine Adoption Project,GA244,31064,5,True,False,True,,False,"Monticello, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered."
48478086,Bailey,Poodle,,False,Adult,Male,Small,White / Cream,,Long,Atlanta Canine Adoption Project,GA244,31064,4,True,True,,,False,"Monticello, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered."
37184690,Zelma,Chihuahua,,False,Senior,Female,Small,Brown / Chocolate,,Short,Atlanta Canine Adoption Project,GA244,31064,5,True,,True,,False,"Monticello, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered."
72802253,Shelby,Mixed Breed,,True,Young,Female,Medium,,,,Faithful Hearts Animal Shelter Inc.,GA216,31023,3,True,,True,,False,"Eastman, GA",N/A,N/A,Spayed / neutered.
72802251,Emma,Mixed Breed,,True,Young,Female,Medium,,,,Faithful Hearts Animal Shelter Inc.,GA216,31023,3,True,,True,,False,"Eastman, GA",N/A,N/A,Spayed / neutered.
72678951,Scout,Chihuahua,,True,Baby,Male,Medium,,,,Faithful Hearts Animal Shelter Inc.,GA216,31023,2,,,,,False,"Eastman, GA",N/A,N/A,Spayed / neutered.
72678948,Skipper,Chihuahua,,True,Baby,Male,Medium,,,,Faithful Hearts Animal Shelter Inc.,GA216,31023,2,,,,,False,"Eastman, GA",N/A,N/A,Spayed / neutered.
