pet_id,pet_name,primary_breed,secondary_breed,mixed_breed,age,gender,size,primary_colour,secondary_colour,coat_length,shelter_name,shelter_id,zip_code,num_photos,children,cats,other_dogs,other_animals,fee_waived,pet_location,characteristics,house_trained,health,adoption_fee
71262904,Goldie ,Shih Tzu,,FALSE,Senior,Female,Small,White / Cream,,Short,Atlanta Canine Adoption Project,GA244,31064,5,TRUE,,TRUE,,FALSE,"Monticello, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered.",N/A
71262886,Princess ,Shih Tzu,,FALSE,Senior,Female,Small,White / Cream,,Short,Atlanta Canine Adoption Project,GA244,31064,5,TRUE,,TRUE,,FALSE,"Monticello, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered.",N/A
70886420,Raggedy Ann,Aussiedoodle,,FALSE,Adult,Female,Large,Black,,Short,Atlanta Canine Adoption Project,GA244,31064,1,TRUE,TRUE,TRUE,,FALSE,"Monticello, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered.",N/A
70886153,Raggedy Andy,Aussiedoodle,,FALSE,Adult,Male,Large,Black,White / Cream,Short,Atlanta Canine Adoption Project,GA244,31064,1,TRUE,TRUE,TRUE,,FALSE,"Monticello, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered.",N/A
65523986,Tribble,Shepherd,,FALSE,Young,Male,Large,White / Cream,,Short,Atlanta Canine Adoption Project,GA244,31064,6,TRUE,,TRUE,,FALSE,"Monticello, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered, special needs.",N/A
59954760,Gizmo,Wirehaired Terrier,,FALSE,Adult,Male,Small,White / Cream,,Medium,Atlanta Canine Adoption Project,GA244,31064,3,TRUE,TRUE,TRUE,,FALSE,"Monticello, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered.",N/A
55464973,Mo,Terrier,,FALSE,Adult,Male,Small,Apricot / Beige,,Medium,Atlanta Canine Adoption Project,GA244,31064,2,FALSE,,TRUE,,FALSE,"Monticello, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered.",N/A
53136174,Simone,Poodle,,FALSE,Adult,Female,Small,White / Cream,,Curly,Atlanta Canine Adoption Project,GA244,31064,6,TRUE,,FALSE,,FALSE,"Monticello, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered.",N/A
48709233,Stella,Terrier,,TRUE,Adult,Female,Medium,White / Cream,Gray / Blue / Silver,Wire,Atlanta Canine Adoption Project,GA244,31064,6,TRUE,FALSE,TRUE,,FALSE,"Monticello, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered.",N/A
48688040,Rosie,Terrier,,TRUE,Adult,Female,Medium,Black,Brown / Chocolate,Wire,Atlanta Canine Adoption Project,GA244,31064,5,TRUE,FALSE,TRUE,,FALSE,"Monticello, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered.",N/A
48478086,Bailey,Poodle,,FALSE,Adult,Male,Small,White / Cream,,Long,Atlanta Canine Adoption Project,GA244,31064,4,TRUE,TRUE,,,FALSE,"Monticello, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered.",N/A
37184690,Zelma,Chihuahua,,FALSE,Senior,Female,Small,Brown / Chocolate,,Short,Atlanta Canine Adoption Project,GA244,31064,5,TRUE,,TRUE,,FALSE,"Monticello, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered.",N/A
72802253,Shelby,Mixed Breed,,TRUE,Young,Female,Medium,,,,Faithful Hearts Animal Shelter Inc.,GA216,31023,3,TRUE,,TRUE,,FALSE,"Eastman, GA",N/A,N/A,Spayed / neutered.,N/A
72802251,Emma,Mixed Breed,,TRUE,Young,Female,Medium,,,,Faithful Hearts Animal Shelter Inc.,GA216,31023,3,TRUE,,TRUE,,FALSE,"Eastman, GA",N/A,N/A,Spayed / neutered.,N/A
72678951,Scout,Chihuahua,,TRUE,Baby,Male,Medium,,,,Faithful Hearts Animal Shelter Inc.,GA216,31023,2,,,,,FALSE,"Eastman, GA",N/A,N/A,Spayed / neutered.,N/A
72678948,Skipper,Chihuahua,,TRUE,Baby,Male,Medium,,,,Faithful Hearts Animal Shelter Inc.,GA216,31023,2,,,,,FALSE,"Eastman, GA",N/A,N/A,Spayed / neutered.,N/A
72189215,Jackie,Husky,,FALSE,Adult,Female,Medium,,,,Faithful Hearts Animal Shelter Inc.,GA216,31023,3,,,,,FALSE,"Eastman, GA",N/A,N/A,Spayed / neutered.,N/A
72189214,Scooby,Jack Russell Terrier,,TRUE,Young,Male,Medium,,,,Faithful Hearts Animal Shelter Inc.,GA216,31023,3,TRUE,,TRUE,,FALSE,"Eastman, GA",N/A,N/A,Spayed / neutered.,N/A
71262049,Toby,Labrador Retriever,,TRUE,Baby,Male,Medium,,,,Faithful Hearts Animal Shelter Inc.,GA216,31023,3,,,TRUE,,FALSE,"Eastman, GA",N/A,N/A,"Vaccinations up to date, spayed / neutered.",N/A
70789208,Diamond ,American Bulldog,,FALSE,Adult,Female,Large,,,Short,Island Breeze Dog Rescue,GA1038,31044,2,TRUE,,TRUE,,FALSE,"Jeffersonville, GA","Friendly, Affectionate, Loyal, Gentle, Playful, Smart, Funny, Loves Kisses",Yes,"Vaccinations up to date, spayed / neutered.",$150.00 
69627920,Helms,Pit Bull Terrier,,FALSE,Adult,Female,Large,,,Short,Island Breeze Dog Rescue,GA1038,31044,1,TRUE,,TRUE,,FALSE,"Jeffersonville, GA","Friendly, Gentle, Playful, Affectionate, Smart, Curious, Athletic, Protective, Quiet, Loves Kisses",Yes,"Vaccinations up to date, spayed / neutered.",$150.00 
69618164,Richard,Mixed Breed,,TRUE,Adult,Male,Medium,Yellow / Tan / Blond / Fawn,,,Island Breeze Dog Rescue,GA1038,31044,4,TRUE,,TRUE,,FALSE,"Jeffersonville, GA","Friendly, Affectionate, Playful, Gentle, Curious, Loyal, Loves Kisses",Yes,"Vaccinations up to date, spayed / neutered.",$200.00 
73700316,Chewy,Corgi,,TRUE,Young,Male,Small,"Tricolor (Brown, Black, & White)",,,Paws in Middle Georgia Animal Rescue,GA1028,31093,3,TRUE,,TRUE,,FALSE,"WARNER ROBINS, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered.",N/A
73526806,Hiccup,Yorkshire Terrier,,TRUE,Senior,Male,Small,,,,Paws in Middle Georgia Animal Rescue,GA1028,31093,6,TRUE,TRUE,TRUE,,FALSE,"WARNER ROBINS, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered, special needs. Hiccup is a tripod.",$250.00 
73106669,Maximilian,Great Pyrenees,Labrador Retriever,TRUE,Adult,Male,Large,White / Cream,,,Paws in Middle Georgia Animal Rescue,GA1028,31093,6,TRUE,FALSE,TRUE,,FALSE,"WARNER ROBINS, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered.",$250.00 
72247278,Ember,Labrador Retriever,,TRUE,Adult,Female,Large,,,,Paws in Middle Georgia Animal Rescue,GA1028,31093,6,,TRUE,FALSE,,FALSE,"WARNER ROBINS, GA",N/A,Yes,"Vaccinations up to date, spayed / neutered, special needs. Ember is a hospice baby. She has a mass in her abdomen. She's heartworm positive. She's currently undergoing treatment. Treatment will be covered by Paws if adopted.",$250.00 
71873444,Hardy,Hound,American Bully,TRUE,Baby,Male,Large,Brown / Chocolate,,,Paws in Middle Georgia Animal Rescue,GA1028,31093,6,TRUE,,,,FALSE,"WARNER ROBINS, GA",N/A,N/A,Vaccinations up to date.,$250.00 
